id,xIndex,yIndex,AUTO,BOOL_ROAD,BOOL_RAILWAY,BOOL_WATERCOURSE,start,end,cost
"12","1","12","1","0","0","0","4602643.26002, 3447676.33327","4881468.96594, 3509468.32857",329041.301176834
"13","1","13","2","0","0","0","4602845.39021, 3439687.17683","4881468.96594, 3509468.32857",329041.301176834
"14","1","14","3","1","1","0","4603784.19337, 3429765.11943","4881468.96594, 3509468.32857",324396.350068407
"15","1","15","4","0","0","0","4604714.83776, 3419929.29063","4881468.96594, 3509468.32857",329235.594592164
"16","1","16","5","0","0","0","4605607.02397, 3410499.92011","4881468.96594, 3509468.32857",393755.385869751
"17","1","17","6","0","0","0","4606274.80187, 3403442.28435","4881468.96594, 3509468.32857",386988.727214486
"24","1","24","7","0","0","0","4606387.8744, 3324680.88658","4881468.96594, 3509468.32857",387074.963898542
"25","1","25","8","0","0","0","4605111.61123, 3317990.1776","4881468.96594, 3509468.32857",395663.273799325
"26","1","26","9","0","0","0","4603384.40353, 3308935.42749","4881468.96594, 3509468.32857",403859.415845648
"27","1","27","10","0","0","0","4603469.68186, 3303370.24243","4881468.96594, 3509468.32857",409116.795579616
"73","2","11","11","0","0","0","4614520.59743, 3455353.91219","4881468.96594, 3509468.32857",297587.228353947
"74","2","12","12","0","0","0","4611616.58513, 3449289.86023","4881468.96594, 3509468.32857",307579.883756495
"75","2","13","13","0","0","0","4611468.96594, 3439468.32857","4881468.96594, 3509468.32857",311283.387779874
"76","2","14","14","1","1","0","4611468.96594, 3429468.32857","4881468.96594, 3509468.32857",317031.372205443
"77","2","15","15","0","0","0","4611468.96594, 3419468.32857","4881468.96594, 3509468.32857",327011.753091803
"78","2","16","16","0","0","0","4611468.96594, 3409468.32857","4881468.96594, 3509468.32857",388895.868957417
"79","2","17","17","0","0","0","4611685.66359, 3399596.19525","4881468.96594, 3509468.32857",366169.112169945
"80","2","18","18","0","0","0","4612577.71893, 3389671.96643","4881468.96594, 3509468.32857",359654.328177843
"81","2","19","19","1","1","0","4613517.66582, 3379737.82109","4881468.96594, 3509468.32857",352607.426801161
"82","2","20","20","1","1","0","4614451.65636, 3369866.62734","4881468.96594, 3509468.32857",351884.478324425
"83","2","21","21","1","0","0","4615363.33047, 3360231.29243","4881468.96594, 3509468.32857",359794.851207614
"84","2","22","22","1","0","0","4615706.90887, 3348231.41627","4881468.96594, 3509468.32857",365398.615332041
"85","2","23","23","1","0","0","4614074.45637, 3338765.08061","4881468.96594, 3509468.32857",373187.822059737
"86","2","24","24","1","0","0","4612233.77495, 3329091.04015","4881468.96594, 3509468.32857",381465.647684151
"87","2","25","25","0","0","0","4611468.96594, 3319468.32857","4881468.96594, 3509468.32857",384385.146466907
"88","2","26","26","0","0","0","4611468.96594, 3309468.32857","4881468.96594, 3509468.32857",398690.372618669
"89","2","27","27","0","0","0","4612049.22354, 3301889.97681","4881468.96594, 3509468.32857",398844.261206289
"135","3","11","28","0","0","0","4622237.36173, 3457107.64616","4881468.96594, 3509468.32857",292663.051954026
"136","3","12","29","0","0","0","4621468.96594, 3449468.32857","4881468.96594, 3509468.32857",297587.228353947
"137","3","13","30","0","0","0","4621468.96594, 3439468.32857","4881468.96594, 3509468.32857",303430.657236823
"138","3","14","31","1","1","0","4621468.96594, 3429468.32857","4881468.96594, 3509468.32857",310852.003340091
"139","3","15","32","0","0","0","4621468.96594, 3419468.32857","4881468.96594, 3509468.32857",312057.727835127
"140","3","16","33","0","0","0","4621468.96594, 3409468.32857","4881468.96594, 3509468.32857",326157.673599312
"141","3","17","34","0","1","0","4621468.96594, 3399468.32857","4881468.96594, 3509468.32857",372652.340703174
"142","3","18","35","0","1","0","4621468.96594, 3389468.32857","4881468.96594, 3509468.32857",362003.18138745
"143","3","19","36","1","1","0","4621468.96594, 3379468.32857","4881468.96594, 3509468.32857",346290.801470585
"144","3","20","37","1","1","0","4621468.96594, 3369468.32857","4881468.96594, 3509468.32857",346101.00696846
"145","3","21","38","1","1","0","4621468.96594, 3359468.32857","4881468.96594, 3509468.32857",353445.417550886
"146","3","22","39","1","1","0","4621468.96594, 3349468.32857","4881468.96594, 3509468.32857",361496.051863737
