id,xIndex,yIndex,AUTO,BOOL_ROAD,BOOL_RAILWAY,BOOL_WATERCOURSE,start,end,cost
"12","1","12","1","0","0","0","4602643.26002, 3447676.33327",,
"13","1","13","2","0","0","0","4602845.39021, 3439687.17683",,
"14","1","14","3","1","1","0","4603784.19337, 3429765.11943","4881468.96594, 3509468.32857",405977.437839875
"15","1","15","4","0","0","0","4604714.83776, 3419929.29063","4881468.96594, 3509468.32857",405977.437839875
"16","1","16","5","0","0","0","4605607.02397, 3410499.92011","4881468.96594, 3509468.32857",392821.734682381
"17","1","17","6","0","0","0","4606274.80187, 3403442.28435","4881468.96594, 3509468.32857",392821.734682381
"24","1","24","7","0","0","0","4606387.8744, 3324680.88658",,
"25","1","25","8","0","0","0","4605111.61123, 3317990.1776","4881468.96594, 3509468.32857",407769.904555085
"26","1","26","9","0","0","0","4603384.40353, 3308935.42749","4881468.96594, 3509468.32857",422020.444315226
"27","1","27","10","0","0","0","4603469.68186, 3303370.24243","4881468.96594, 3509468.32857",418954.661199488
"73","2","11","11","0","0","0","4614520.59743, 3455353.91219","4881468.96594, 3509468.32857",390844.716855215
"74","2","12","12","0","0","0","4611616.58513, 3449289.86023","4881468.96594, 3509468.32857",395225.00365661
"75","2","13","13","0","0","0","4611468.96594, 3439468.32857","4881468.96594, 3509468.32857",395225.00365661
"76","2","14","14","1","1","0","4611468.96594, 3429468.32857","4881468.96594, 3509468.32857",398019.865074938
"77","2","15","15","0","0","0","4611468.96594, 3419468.32857","4881468.96594, 3509468.32857",402435.973535834
"78","2","16","16","0","0","0","4611468.96594, 3409468.32857","4881468.96594, 3509468.32857",392821.734682381
"79","2","17","17","0","0","0","4611685.66359, 3399596.19525","4881468.96594, 3509468.32857",390337.172298258
"80","2","18","18","0","0","0","4612577.71893, 3389671.96643","4881468.96594, 3509468.32857",385773.748682903
"81","2","19","19","1","1","0","4613517.66582, 3379737.82109","4881468.96594, 3509468.32857",368382.197869693
"82","2","20","20","1","1","0","4614451.65636, 3369866.62734","4881468.96594, 3509468.32857",367786.370670172
"83","2","21","21","1","0","0","4615363.33047, 3360231.29243","4881468.96594, 3509468.32857",376990.651845092
"84","2","22","22","1","0","0","4615706.90887, 3348231.41627","4881468.96594, 3509468.32857",377357.734938932
"85","2","23","23","1","0","0","4614074.45637, 3338765.08061","4881468.96594, 3509468.32857",385555.658259893
"86","2","24","24","1","0","0","4612233.77495, 3329091.04015","4881468.96594, 3509468.32857",396835.096273045
"87","2","25","25","0","0","0","4611468.96594, 3319468.32857","4881468.96594, 3509468.32857",405498.419434537
"88","2","26","26","0","0","0","4611468.96594, 3309468.32857","4881468.96594, 3509468.32857",405203.152411261
"89","2","27","27","0","0","0","4612049.22354, 3301889.97681","4881468.96594, 3509468.32857",408550.690548333
"135","3","11","28","0","0","0","4622237.36173, 3457107.64616","4881468.96594, 3509468.32857",379488.954029621
"136","3","12","29","0","0","0","4621468.96594, 3449468.32857","4881468.96594, 3509468.32857",388854.54919857
"137","3","13","30","0","0","0","4621468.96594, 3439468.32857","4881468.96594, 3509468.32857",388854.54919857
"138","3","14","31","1","1","0","4621468.96594, 3429468.32857","4881468.96594, 3509468.32857",382480.394504746
"139","3","15","32","0","0","0","4621468.96594, 3419468.32857","4881468.96594, 3509468.32857",380324.93607033
"140","3","16","33","0","0","0","4621468.96594, 3409468.32857","4881468.96594, 3509468.32857",392821.734682381
"141","3","17","34","0","1","0","4621468.96594, 3399468.32857","4881468.96594, 3509468.32857",388580.191444522
"142","3","18","35","0","1","0","4621468.96594, 3389468.32857","4881468.96594, 3509468.32857",377929.444672329
"143","3","19","36","1","1","0","4621468.96594, 3379468.32857","4881468.96594, 3509468.32857",361738.584182967
"144","3","20","37","1","1","0","4621468.96594, 3369468.32857","4881468.96594, 3509468.32857",357234.280359056
"145","3","21","38","1","1","0","4621468.96594, 3359468.32857","4881468.96594, 3509468.32857",366375.863898829
"146","3","22","39","1","1","0","4621468.96594, 3349468.32857","4881468.96594, 3509468.32857",374752.42208143
"147","3","23","40","1","1","0","4621468.96594, 3339468.32857","4881468.96594, 3509468.32857",385555.658259893
"148","3","24","41","1","1","0","4621468.96594, 3329468.32857","4881468.96594, 3509468.32857",396835.096273045
"149","3","25","42","1","1","0","4621468.96594, 3319468.32857","4881468.96594, 3509468.32857",407411.897985347
"150","3","26","43","1","1","0","4621468.96594, 3309468.32857","4881468.96594, 3509468.32857",402740.867558272
"151","3","27","44","1","1","0","4621809.65005, 3300207.23995","4881468.96594, 3509468.32857",392601.551606127
"152","3","28","45","0","0","0","4626340.24837, 3294423.90534","4881468.96594, 3509468.32857",385046.552486192
"196","4","10","46","0","0","0","4635187.58232, 3465050.7504","4881468.96594, 3509468.32857",379488.954029621
"197","4","11","47","0","0","0","4631746.77741, 3459085.04047","4881468.96594, 3509468.32857",379488.954029621
"198","4","12","48","0","0","0","4631468.96594, 3449468.32857","4881468.96594, 3509468.32857",379488.954029621
"199","4","13","49","0","1","0","4631468.96594, 3439468.32857","4881468.96594, 3509468.32857",379488.954029621
"200","4","14","50","1","1","0","4631468.96594, 3429468.32857","4881468.96594, 3509468.32857",369856.835296856
"201","4","15","51","1","0","0","4631468.96594, 3419468.32857","4881468.96594, 3509468.32857",372875.035676223
"202","4","16","52","1","0","0","4631468.96594, 3409468.32857","4881468.96594, 3509468.32857",348596.990088895
"203","4","17","53","0","0","0","4631468.96594, 3399468.32857","4881468.96594, 3509468.32857",338646.087507016
